,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
4355,"Apartamento com 2 Quartos à Venda, 45m²",N/I,N/I,Santa Cândida,Curitiba,PR,45,2,1,1,R$ 236.500
4356,"Apartamento com 2 Quartos à Venda, 45m²",N/I,N/I,Santa Cândida,Curitiba,PR,45,2,1,1,R$ 236.500
4357,"Apartamento com 3 Quartos à Venda, 145m²",Rua Amintas de Barros,N/I,Centro Cívico,Curitiba,PR,145,3,2,--,R$ 680.000
4358,"Apartamento com 3 Quartos à Venda, 165m²",Rua Coronel Joaquim Ignácio Taborda Ribas,864,Bigorrilho,Curitiba,PR,165,3,4,4,"R$ 1.590.000
                        
Preço abaixo do mercado"
4359,"Apartamento com  Quarto à Venda, 33m²",Avenida Visconde de Guarapuava,696,Centro,Curitiba,PR,33,1,1,--,R$ 315.000
4360,"Apartamento com 4 Quartos à Venda, 372m²",Rua Deputado Heitor Alencar Furtado,3320,Mossunguê,Curitiba,PR,372,4,6,4,"R$ 3.200.000
                        
Preço abaixo do mercado"
4361,"Apartamento com 3 Quartos à Venda, 395m²",Avenida João Gualberto,N/I,Alto da Glória,Curitiba,PR,395,3,3,4,R$ 5.148.000
4362,"Apartamento com  Quarto à Venda, 19m²",Rua Albino Kaminski,395,Bairro Alto,Curitiba,PR,19,1,1,--,R$ 135.500
4363,"Apartamento com 2 Quartos à Venda, 43m²",Estrada Delegado Bruno de Almeida,570,Tatuquara,Curitiba,PR,43,2,1,1,R$ 139.000
4364,"Apartamento com 2 Quartos à Venda, 60m²",Rua Capitão José Maria Sobrinho,1787,Fanny,Curitiba,PR,60,2,2,1,R$ 464.000
4365,"Apartamento com 3 Quartos à Venda, 104m²",Rua Marechal Deodoro,1616,Centro,Curitiba,PR,104,3,2,1,"R$ 559.900
                        
Preço abaixo do mercado"
4366,"Apartamento com 2 Quartos à Venda, 50m²",Rua Álvaro Andrade,445,Portão,Curitiba,PR,50,2,1,1,R$ 515.000
4367,"Apartamento com 2 Quartos à Venda, 61m²",Rua Professor Luiz César,N/I,Água Verde,Curitiba,PR,61,2,1,2,R$ 629.900
4368,"Apartamento com 3 Quartos à Venda, 106m²",Rua Tomazina,360,Ahú,Curitiba,PR,106,3,2,1,"R$ 360.000
                        
Preço abaixo do mercado"
4369,"Apartamento com 3 Quartos à Venda, 89m²",Rua Ubaldino do Amaral,1019,Cristo Rei,Curitiba,PR,89,3,3,2,"R$ 800.000
                        
Preço abaixo do mercado"
